pdb_code,parse_failed,mw,rot_bonds,num_heavy_atoms,formal_charge,num_rings,smiles
1ydb,False,222.25100000000006,3.0,13.0,0.0,1.0,[H]N(C(=O)C([H])([H])[H])c1nnc(S(=O)(=O)N([H])[H])s1
6r13,False,246.26600000000008,4.0,18.0,0.0,2.0,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])C(=O)N([H])[C@]2([H])C(=O)N([H])C(=O)C2([H])[H])c([H])c1[H]
4ucc,False,315.1119999999998,4.0,20.0,0.0,2.0,[H]OC(=O)c1nn(C([H])([H])c2c([H])c([H])c(Cl)c([H])c2Cl)c(C(=O)O[H])c1[H]
4bf6,False,331.38199999999995,4.0,22.0,0.0,3.0,[H]c1c(-c2nnn(-c3c([H])c([H])c([H])c(C#N)c3[H])c2[H])sc(S(=O)(=O)N([H])[H])c1[H]
3d9z,False,275.74199999999985,3.0,16.0,0.0,2.0,[H]c1c([H])c([H])c(-c2nnc(S(=O)(=O)N([H])[H])s2)c(Cl)c1[H]
6b97,False,355.75099999999975,3.0,24.0,0.0,3.0,[H]c1c([H])c([C@]([H])(N([H])c2nc(Cl)nc3c2c([H])nn3C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1C(F)(F)F
1no6,False,335.3149999999998,3.0,25.0,0.0,3.0,[H]OC(=O)C(=O)N(c1c([H])c([H])c([H])c([H])c1C(=O)O[H])c1c([H])c([H])c([H])c2c([H])c([H])c([H])c([H])c12
2std,False,334.67399999999964,4.0,20.0,0.0,2.0,[H]c1c([H])c([C@]([H])(N([H])C(=O)[C@@]2(C([H])([H])C([H])([H])[H])C(Cl)(Cl)[C@]2([H])C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1Cl
2vb8,False,210.2980000000001,3.0,14.0,0.0,1.0,[H]OC1=C(C([H])([H])[H])C(=O)S[C@@]1(/C([H])=C(/C([H])=C([H])[H])C([H])([H])[H])C([H])([H])[H]
4deu,False,272.25599999999974,4.0,20.0,0.0,3.0,[H]Oc1c([H])c([H])c([C@@]2([H])Oc3c([H])c(O[H])c([H])c(O[H])c3C(=O)C2([H])[H])c([H])c1[H]
5ty9,False,237.21100000000007,3.0,17.0,0.0,2.0,[H]c1c([H])c([C@@]2([H])OC(=O)N([H])C2=O)c(OC([H])([H])[H])c([H])c1OC([H])([H])[H]
5u0f,False,283.37399999999974,4.0,18.0,0.0,2.0,[H]c1c([H])c(C([H])([H])[C@@]2([H])SC(=S)N([H])C2=O)c(OC([H])([H])[H])c([H])c1OC([H])([H])[H]
5llh,False,394.396,4.0,24.0,0.0,3.0,[H]c1c([H])c([H])c2sc(Sc3c(F)c(F)c(S(=O)(=O)N([H])[H])c(F)c3F)nc2c1[H]
3gk1,False,279.36499999999967,3.0,19.0,0.0,1.0,[H]c1c(C#CC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])oc(C(=O)N([H])N([H])C(=S)N([H])C([H])([H])[H])c1[H]
3e5u,False,186.59400000000002,3.0,12.0,0.0,1.0,[H]OC(=O)C([H])([H])c1c([H])c([H])c(O[H])c(Cl)c1[H]
4mr3,False,326.35199999999975,4.0,24.0,0.0,3.0,[H]Oc1c(C([H])([H])[H])c([H])c(-c2nc3c([H])c(OC([H])([H])[H])c([H])c(OC([H])([H])[H])c3c(=O)n2[H])c([H])c1C([H])([H])[H]
3tb6,False,150.13000000000008,4.0,10.0,0.0,1.0,[H]O[C@@]1([H])OC([H])([H])[C@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])O[H]
4cwr,False,337.31399999999985,3.0,25.0,0.0,5.0,[H]c1c([H])c(C([H])([H])c2nc3c([H])c([H])c([H])c(F)c3c3nc(N([H])[H])nn23)c([H])c2c1OC([H])([H])O2
1e2k,False,252.27000000000012,4.0,18.0,0.0,3.0,[H]OC([H])([H])[C@@]12C([H])([H])[C@]1([H])[C@@]([H])(n1c([H])c(C([H])([H])[H])c(=O)n([H])c1=O)C([H])([H])[C@]2([H])O[H]
5eh8,False,192.21400000000008,3.0,14.0,0.0,1.0,[H]OC(=O)/C([H])=C(/c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H])C([H])([H])[H]
6rih,False,241.2940000000001,3.0,18.0,0.0,3.0,[H]c1c([H])c([H])c(-c2nn(C([H])([H])[H])c(C(=O)N([H])C3([H])C([H])([H])C3([H])[H])c2[H])c([H])c1[H]
6upj,False,298.38199999999955,4.0,22.0,0.0,3.0,[H]Oc1c2c(oc(=O)c1[C@]([H])(c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H]
